Iniciando Collapse:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 150
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T2): 100.00%	ODs: 9500/10000(095%)	Tempo: 82.42961
		Fim: T2
Progresso (T5): 100.00%	ODs: 9625/10000(096%)	Tempo: 83.41641
		Fim: T5
Progresso (T1): 100.00%	ODs: 9750/10000(098%)	Tempo: 83.75915
		Fim: T1
Progresso (T8): 100.00%	ODs: 9875/10000(099%)	Tempo: 84.76411
		Fim: T8
Progresso (T7): 100.00%	ODs: 10000/10000(100%)	Tempo: 85.47795
		Fim: T7

Quantidade de rotas: 10000
Status: Found Qtd.: 9996
Status: SourceAndTargetAreToCloseToCollapse Qtd.: 4
Tempo decorrido para Collapse para 150 metros = 661.558089471667
para o arquivo: Fortaleza-network-osm-2019-1_1

